REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date,Location
SL021328,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,GY1,NA,0,0,0,MIN,0.56,1.1,6.1,72,1.7,5.4,20,97,46,19,78,NA,NA,96,96,32,81,NA,NA,NA,0.1,"Lawn, centipede",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This report provides Test Results and Recommendations for each sample submitted for testing. Look for Lime Recommendations and N-P-K Fertilizer Recommendations. The lime recommendation is always listed next to the first crop and will be based on the higher target pH if the pH targets for crop 1 and crop 2 differ. Application at the indicated rate will raise soil pH to the optimal level for the plant you specified and should be sufficient for 2 to 3 years, depending on soil type. Common target pH values are as follows: 5.0 for azalea, camellia, rhododendron and mt. laurel; 5.5 for centipedegrass; 6.0 for other lawn grasses, shrubbery, and; flowering plants; and 6.5 for vegetable gardens. N-P-K Recommendations are based on the nitrogen (N) needs of the plants being grown and the soil test results for phosphorus (P-I) and potassium (K-I); a 50 to 70 index for either is optimum. If the exact fertilizer cannot be found, find the closest match and adjust the rate accordingly. Refer to 'Understanding the Soil Report' (last page of this report) for additional explanation and links to helpful information.",NA,NA,NA,NA,1/24/2018,Clinton
SL021328,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,GF1,NA,0,0,0,MIN,0.09,1.45,1.7,44,1,4.7,29,21,27,11,12,24,24,23,23,17,41,NA,NA,NA,0.1,"Bermuda hay/past., E",0.7,60-80,80,100,25,0,$,$,0,$,NA,12,"Bermuda hay/past., M",0,180-220,70,190,$,$,$,0,$,NA,12,NA,"This report provides Test Results and Recommendations for each sample submitted for testing. Look for Lime Recommendations and N-P-K Fertilizer Recommendations. The lime recommendation is always listed next to the first crop and will be based on the higher target pH if the pH targets for crop 1 and crop 2 differ. Application at the indicated rate will raise soil pH to the optimal level for the plant you specified and should be sufficient for 2 to 3 years, depending on soil type. Common target pH values are as follows: 5.0 for azalea, camellia, rhododendron and mt. laurel; 5.5 for centipedegrass; 6.0 for other lawn grasses, shrubbery, and; flowering plants; and 6.5 for vegetable gardens. N-P-K Recommendations are based on the nitrogen (N) needs of the plants being grown and the soil test results for phosphorus (P-I) and potassium (K-I); a 50 to 70 index for either is optimum. If the exact fertilizer cannot be found, find the closest match and adjust the rate accordingly. Refer to 'Understanding the Soil Report' (last page of this report) for additional explanation and links to helpful information.",NA,NA,NA,NA,1/24/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A11,NA,2,2017,0.3,MIN,0.32,1.38,1.9,69,0.6,5.4,168,44,41,17,58,45,52,119,119,94,16,NA,NA,NA,0.1,"Vegetables, other",0.3,80-100,0,130,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,50,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A12,NA,0,0,0,MIN,0.27,1.43,2.8,74,0.7,5.8,195,66,43,20,95,67,74,275,275,82,14,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,80,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,20,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A13,NA,2,2017,0.5,MIN,0.18,1.43,2.5,67,0.8,5.4,149,57,39,16,70,52,59,64,64,49,18,NA,NA,NA,0.1,"Vegetables, other",0.3,80-100,0,100,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,30,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B1,NA,0,0,0,MIN,0.22,1.47,2.5,72,0.7,5.6,203,37,51,14,78,64,64,174,174,104,13,NA,NA,NA,0.1,Sweetpotato,0.3,60-90,0,100,0,25,0,0,0.5,0,NA,6,"Corn, grain",0,120 - 160,0,60,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B2,NA,0,0,0,MIN,0.18,1.46,2.2,73,0.6,5.7,122,65,41,17,63,55,55,81,81,112,13,NA,NA,NA,0.1,Sweetpotato,0,60-90,0,20,0,25,0,0,0.5,0,NA,6,"Corn, grain",0,120 - 160,0,20,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B3,NA,0,0,0,MIN,0.22,1.44,2.4,71,0.7,5.6,174,64,44,14,83,67,67,149,149,81,15,NA,NA,NA,0.1,Sweetpotato,0.3,60-90,0,20,0,25,0,0,0.5,0,NA,6,"Corn, grain",0,120 - 160,0,20,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B4,NA,0,0,0,MIN,0.22,1.43,2.3,74,0.6,5.7,104,46,48,17,59,52,52,116,116,66,11,NA,NA,NA,0.1,Sweetpotato,0,60-90,0,70,0,25,0,0,0.5,0,NA,6,"Corn, grain",0,120 - 160,0,50,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B5,NA,0,0,0,MIN,0.22,1.5,1.8,63,0.7,5.4,131,49,37,13,78,64,64,81,81,90,16,NA,NA,NA,0.1,Sweetpotato,0.4,60-90,0,60,25,25,0,0,0.5,0,NA,6,"Corn, grain",0,120 - 160,0,40,$,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B6,NA,0,0,0,MIN,0.27,1.48,2.2,68,0.7,5.5,134,74,34,17,79,64,64,92,92,80,62,NA,NA,NA,0.1,Sweetpotato,0.3,60-90,0,0,0,0,0,0,0.5,0,NA,6,"Corn, grain",0,120 - 160,0,10,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,B07,NA,0,0,0,MIN,0.32,1.41,2.8,64,1,5.4,135,55,41,13,42,42,35,53,53,39,29,NA,NA,NA,0.1,Sweetpotato,0.5,60-90,0,50,0,0,0,0,0.5,0,NA,6,Soybean,0,0,0,30,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,C1,NA,0,0,0,MIN,0.71,1.21,6.1,35,3.9,4.1,179,41,23,9,26,NA,NA,90,90,50,40,NA,NA,NA,0.1,"Blueberry, M",0,30-60,0,10,0,0,0,0,0,NA,NA,18,"Blueberry, M",0,30-60,0,10,0,0,0,0,NA,NA,18,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,E1,NA,0,0,0,MIN,0.92,1.3,5.3,78,1.2,5.9,262,91,53,17,139,93,93,106,106,91,36,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,40,0,0,0,0,0,0,NA,6,Soybean,0,0,0,0,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,E2,NA,0,0,0,MIN,0.32,1.3,3.2,75,0.8,5.9,174,86,42,20,102,71,71,76,76,52,20,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,40,0,25,0,0,0,0,NA,6,Soybean,0,0,0,0,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,E3,NA,0,0,0,MIN,0.27,1.36,2.6,67,0.8,5.4,214,49,42,16,102,71,71,93,93,59,20,NA,NA,NA,0.1,"Vegetables, other",0.4,80-100,0,110,0,25,0,0,0,0,NA,6,Soybean,0,0,0,40,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,E04A,NA,0,0,0,MIN,0.18,1.4,3.3,72,0.9,5.6,190,45,44,21,52,48,41,189,189,56,17,NA,NA,NA,0.1,"Grape, M",0.4,Note 18,0,60,0,25,0,0,0.5,0,NA,18,Soybean,0,0,0,50,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
